Logfile 

4/11/2021 12:40:06 PM
 
*********************************************************

Number of Object, GeneName, Normalised, timestamp 
_________________________________________________________________________________

0, hyal5, True, 12:11:26
0, hyal5, False, 12:11:30
0, map2k7, False, 12:11:35
0, map2k7, True, 12:11:37
0, svs4, False, 12:11:59
0, gm10837, False, 12:11:59
0, map2k7, False, 12:11:59
0, hic2, False, 12:11:00
0, ghrh, False, 12:11:17
0, was, False, 12:11:35
0, was, True, 12:11:38
0, a2m, False, 12:11:06
0, a2m, True, 12:11:09
0, ay358078, True, 12:11:12
0, dpy19l2, True, 12:11:14
0, zbtb39, True, 12:11:14
0, gm38701, True, 12:11:14
0, cnih2, True, 12:11:14
0, mtap, True, 12:11:14
0, cd24a, True, 12:11:14
0, prrg4, True, 12:11:14
0, mtap, True, 12:11:14
0, e030025p04rik, True, 12:11:14
0, cnih2, True, 12:11:14
0, gm38701, True, 12:11:14
0, zbtb39, True, 12:11:15
0, dpy19l2, True, 12:11:15
0, mrpl23, True, 12:11:15
0, mrpl23, True, 12:11:16
0, dpy19l2, True, 12:11:16
0, stard4, True, 12:11:17
0, hist1h3d, True, 12:11:17
0, hist1h3d, True, 12:11:17
0, stard4, True, 12:11:17
0, gm10383, True, 12:11:17
0, stard4, True, 12:11:17
0, stard4, True, 12:11:17
0, gm10383, True, 12:11:17
0, bmyc, True, 12:11:17
0, bmyc, True, 12:11:17
0, gm10383, True, 12:11:17
0, engase, True, 12:11:17
0, olfr900, True, 12:11:17
0, bmyc, True, 12:11:18
0, gm10383, True, 12:11:18
0, hist1h3d, True, 12:11:20
0, hist1h3d, True, 12:11:20
0, hist1h3d, False, 12:11:22
0, nudt9, False, 12:11:23
0, susd6, False, 12:11:23
0, rhox2f, False, 12:11:23
0, susd6, False, 12:11:23
0, susd6, False, 12:11:23
0, rhox2f, False, 12:11:23
0, rhox2f, False, 12:11:23
0, vps28, False, 12:11:23
0, rhox2f, False, 12:11:23
0, vps28, False, 12:11:23
0, vps28, False, 12:11:23
0, vmn2r3, False, 12:11:23
0, vmn2r3, False, 12:11:24
0, slc30a5, False, 12:11:24
0, vmn2r3, False, 12:11:24
0, slc30a5, False, 12:11:24
0, slc30a5, False, 12:11:24
0, vmn2r3, False, 12:11:24
0, slc30a5, False, 12:11:24
0, vmn2r3, False, 12:11:24
0, slc30a5, False, 12:11:24
0, rcvrn, False, 12:11:24
0, slc30a5, False, 12:11:24
0, slc30a5, False, 12:11:24
0, slc30a5, False, 12:11:24
0, rcvrn, False, 12:11:24
0, slc30a5, False, 12:11:24
0, lgr4, False, 12:11:24
0, rcvrn, False, 12:11:24
0, rcvrn, False, 12:11:24
0, slc30a5, False, 12:11:24
0, vmn2r3, False, 12:11:24
0, slc30a5, False, 12:11:24
0, vmn2r3, False, 12:11:24
0, slc30a5, False, 12:11:24
0, vmn2r3, False, 12:11:24
0, vps28, False, 12:11:24
0, nudt9, False, 12:11:24
0, susd6, False, 12:11:24
0, nudt9, False, 12:11:24
0, sox18, False, 12:11:25
0, prss50, False, 12:11:25
0, sox18, False, 12:11:25
0, sox18, False, 12:11:25
0, prss50, False, 12:11:25
0, sox18, False, 12:11:25
